university_id,year,num_students,student_staff_ratio,pct_international_students,pct_female_students,country_name,university_name,ranking_criteria_id,ranking_system_id,ranking_system_name,score,ranking_criteria_name,Country_id
86,2011,10410,10,14,54,United States of America,Tufts University,14,3,Center for World University Rankings,84,Research,73
45,2011,35364,13.9,13,54,United States of America,"University of California, Davis",1,1,Times Higher Education World University Ranking,100,Teaching,73
66,2011,8653,10.1,19,54,United States of America,Brown University,1,1,Times Higher Education World University Ranking,100,Teaching,73
1034,2011,56959,13,11,49,United States of America,University of Massachusetts,21,3,Center for World University Rankings,82,Research,73
17,2011,22809,5.6,7,49,Japan,Kyoto University,1,1,Times Higher Education World University Ranking,100,Teaching,33
114,2011,39763,13.7,10,32,China,Tsinghua University,14,3,Center for World University Rankings,84,Research,11
62,2011,24789,8.6,17,58,United States of America,Boston University,1,1,Times Higher Education World University Ranking,100,Teaching,73
23,2011,42056,6.8,19,55,United States of America,New York University,1,1,Times Higher Education World University Ranking,100,Teaching,73
81,2011,12338,4.5,18,56,United States of America,Emory University,14,3,Center for World University Rankings,84,Research,73
1035,2011,35691,15.5,13,62,Germany,LMU Munich,21,3,Center for World University Rankings,82,Research,21
112,2011,11829,13.8,10,44,United States of America,University of Notre Dame,14,3,Center for World University Rankings,84,Research,73
1036,2011,26485,5.8,10,51,United States of America,University of Pittsburgh,21,3,Center for World University Rankings,82,Research,73
78,2011,9259,6.4,17,48,United States of America,Case Western Reserve University,14,3,Center for World University Rankings,84,Research,73
1037,2011,51462,13.4,12,49,United States of America,Ohio State University,21,3,Center for World University Rankings,82,Research,73
46,2011,29325,16.1,8,45,United States of America,University of Colorado Boulder,1,1,Times Higher Education World University Ranking,100,Teaching,73
98,2011,17906,14,25,53,United Kingdom,University of Bristol,14,3,Center for World University Rankings,84,Research,72
165,2011,17404,22.7,1,53,United States of America,"University of California, Santa Cruz",14,3,Center for World University Rankings,84,Research,73
173,2011,6753,5.5,7,53,United States of America,Yeshiva University,14,3,Center for World University Rankings,84,Research,73
94,2011,41868,20.2,28,57,Australia,University of Sydney,14,3,Center for World University Rankings,84,Research,2
84,2011,23845,10.2,12,52,United States of America,University of Virginia,14,3,Center for World University Rankings,84,Research,73
341,2011,20771,30.1,26,48,Australia,University of Adelaide,14,3,Center for World University Rankings,84,Research,2
44,2011,36534,12.9,20,52,United States of America,University of Southern California,1,1,Times Higher Education World University Ranking,100,Teaching,73
1038,2011,7867,11.8,7,54,United States of America,William & Mary,21,3,Center for World University Rankings,82,Research,73
1039,2011,15521,18,25,57,Ireland,Trinity College Dublin,21,3,Center for World University Rankings,82,Research,30
1040,2011,21394,11.4,37,61,United Kingdom,King’s College London,21,3,Center for World University Rankings,82,Research,72
105,2011,21908,10.9,24,50,United States of America,Stony Brook University,14,3,Center for World University Rankings,84,Research,73
134,2011,9027,10,9,20,South Korea,Korea Advanced Institute of Science and Technology (KAIST),14,3,Center for World University Rankings,84,Research,62
191,2011,12001,17.4,35,54,United Kingdom,University of Sussex,14,3,Center for World University Rankings,84,Research,72
1041,2011,34718,32.7,27,53,Australia,The University of Queensland,21,3,Center for World University Rankings,82,Research,2
1042,2011,28881,24.5,17,55,Germany,Heidelberg University,21,3,Center for World University Rankings,82,Research,21
38,2011,25674,16.9,9,45,United States of America,University of Utah,1,1,Times Higher Education World University Ranking,100,Teaching,73
265,2011,15489,15.7,24,54,United Kingdom,Durham University,14,3,Center for World University Rankings,84,Research,72
76,2011,34938,15.3,34,52,United Kingdom,University of Manchester,14,3,Center for World University Rankings,84,Research,72
542,2011,8747,15.9,37,57,United Kingdom,"Royal Holloway, University of London",21,3,Center for World University Rankings,82,Research,72
125,2011,28251,11.5,15,57,Sweden,Lund University,14,3,Center for World University Rankings,84,Research,64
150,2011,20925,13.5,29,53,United Kingdom,University of Southampton,14,3,Center for World University Rankings,84,Research,72
88,2011,26583,6.5,19,57,Switzerland,University of Zurich,14,3,Center for World University Rankings,84,Research,65
149,2011,7326,4.6,5,51,United States of America,Wake Forest University,14,3,Center for World University Rankings,84,Research,73
270,2011,22193,24.5,23,51,Ireland,University College Dublin,14,3,Center for World University Rankings,84,Research,30
181,2011,20541,12,16,56,United States of America,George Washington University,14,3,Center for World University Rankings,84,Research,73
50,2011,36429,12.7,8,52,United States of America,University of Arizona,1,1,Times Higher Education World University Ranking,100,Teaching,73
157,2011,12551,17.3,24,54,Switzerland,University of Basel,14,3,Center for World University Rankings,84,Research,65
68,2011,31331,8.4,9,48,United States of America,"University of Maryland, College Park",1,1,Times Higher Education World University Ranking,100,Teaching,73
58,2011,6178,6.6,16,47,United States of America,Dartmouth College,1,1,Times Higher Education World University Ranking,100,Teaching,73
463,2011,2218,8,14,49,France,École normale supérieure de Lyon,19,3,Center for World University Rankings,82,Research,20
90,2011,35565,31.5,20,33,Germany,Technical University of Munich,14,3,Center for World University Rankings,84,Research,21
89,2011,23505,15.1,6,66,Finland,University of Helsinki,14,3,Center for World University Rankings,84,Research,19
324,2011,8338,12.7,47,56,United Kingdom,University of St Andrews,14,3,Center for World University Rankings,84,Research,72
244,2011,6671,15,16,30,United States of America,Rensselaer Polytechnic Institute,14,3,Center for World University Rankings,84,Research,73
1044,2011,37032,17.3,8,51,United States of America,"Rutgers, the State University of New Jersey",21,3,Center for World University Rankings,82,Research,73
1045,2011,39256,18.1,22,42,United States of America,Purdue University,21,3,Center for World University Rankings,82,Research,73
419,2011,10221,13.5,5,33,Taiwan,National Tsing Hua University,19,3,Center for World University Rankings,82,Research,66
268,2011,20040,12.1,18,53,South Africa,University of Cape Town,14,3,Center for World University Rankings,84,Research,61
1046,2011,44501,12.4,12,46,United States of America,Pennsylvania State University,21,3,Center for World University Rankings,82,Research,73
75,2011,26389,13.9,10,46,South Korea,Seoul National University,14,3,Center for World University Rankings,84,Research,62
679,2011,10441,11,25,61,Hong Kong,Hong Kong Baptist University,21,3,Center for World University Rankings,82,Research,24
117,2011,9586,7.3,13,13,Japan,Tokyo Institute of Technology,14,3,Center for World University Rankings,84,Research,33
354,2011,8176,16,14,19,Netherlands,Eindhoven University of Technology,14,3,Center for World University Rankings,84,Research,44
113,2011,31891,11.9,7,39,Taiwan,National Taiwan University,14,3,Center for World University Rankings,84,Research,66
223,2011,20626,22,12,51,United States of America,"University of California, Riverside",14,3,Center for World University Rankings,84,Research,73
65,2011,15668,15,39,61,Switzerland,University of Geneva,1,1,Times Higher Education World University Ranking,100,Teaching,65
1048,2011,42503,41.9,18,54,Belgium,KU Leuven,21,3,Center for World University Rankings,82,Research,6
218,2011,29743,13.3,10,46,China,Nanjing University,14,3,Center for World University Rankings,84,Research,11
215,2011,14260,14,40,52,United Kingdom,Queen Mary University of London,14,3,Center for World University Rankings,84,Research,72
123,2011,44750,15.7,15,51,United States of America,Michigan State University,14,3,Center for World University Rankings,84,Research,73
198,2011,9990,5,18,27,Denmark,Technical University of Denmark,14,3,Center for World University Rankings,84,Research,16
141,2011,32166,34.1,9,57,Belgium,Ghent University,14,3,Center for World University Rankings,84,Research,6
450,2011,11512,14.9,33,52,United Kingdom,Lancaster University,19,3,Center for World University Rankings,82,Research,72
85,2011,21222,17.1,10,59,Netherlands,Leiden University,14,3,Center for World University Rankings,84,Research,44
108,2011,36299,21.6,23,55,Canada,University of Alberta,14,3,Center for World University Rankings,84,Research,9
142,2011,22616,16,29,57,United Kingdom,University of Glasgow,14,3,Center for World University Rankings,84,Research,72
32,2011,23144,7.8,9,31,Japan,Osaka University,1,1,Times Higher Education World University Ranking,100,Teaching,33
79,2011,17200,5,7,25,Japan,Tohoku University,14,3,Center for World University Rankings,84,Research,33
1049,2011,26467,31.2,16,52,Germany,University of Freiburg,21,3,Center for World University Rankings,82,Research,21
132,2011,27526,11.6,11,52,United States of America,University of Iowa,14,3,Center for World University Rankings,84,Research,73
306,2011,11623,11.1,12,60,Norway,University of Bergen,14,3,Center for World University Rankings,84,Research,47
195,2011,11964,13.1,22,60,Switzerland,University of Lausanne,14,3,Center for World University Rankings,84,Research,65
179,2011,23311,15.5,31,50,United Kingdom,University of Sheffield,14,3,Center for World University Rankings,84,Research,72
148,2011,23280,16.3,6,56,Netherlands,VU University Amsterdam,14,3,Center for World University Rankings,84,Research,44
1050,2011,27862,8.7,18,48,France,Pierre and Marie Curie University,21,3,Center for World University Rankings,82,Research,20
253,2011,11628,15.3,25,60,United Kingdom,University of Dundee,14,3,Center for World University Rankings,84,Research,72
128,2011,47491,12.2,10,62,Spain,University of Barcelona,14,3,Center for World University Rankings,84,Research,63
99,2011,30779,15.4,7,59,Netherlands,Utrecht University,14,3,Center for World University Rankings,84,Research,44
1051,2011,9248,17,21,56,Netherlands,Wageningen University and Research Center,21,3,Center for World University Rankings,82,Research,44
274,2011,29787,18.9,28,54,New Zealand,University of Auckland,14,3,Center for World University Rankings,84,Research,45
146,2011,25295,16.4,23,54,United Kingdom,University of Birmingham,14,3,Center for World University Rankings,84,Research,72
952,2011,127431,23.3,1,46,Egypt,Alexandria University,21,3,Center for World University Rankings,82,Research,17
131,2011,25266,18.2,12,57,Sweden,Uppsala University,14,3,Center for World University Rankings,84,Research,64
382,2011,22064,25.9,26,51,Hong Kong,Hong Kong Polytechnic University,14,3,Center for World University Rankings,84,Research,24
277,2011,12938,15.8,33,54,United Kingdom,University of Aberdeen,14,3,Center for World University Rankings,84,Research,72
276,2011,15920,19.4,25,26,Netherlands,Delft University of Technology,14,3,Center for World University Rankings,84,Research,44
625,2011,9454,17.2,38,55,United Kingdom,"Birkbeck, University of London",21,3,Center for World University Rankings,82,Research,72
230,2011,20174,15.2,29,50,United Kingdom,Newcastle University,14,3,Center for World University Rankings,84,Research,72
152,2011,38309,25.9,33,47,Australia,University of New South Wales,14,3,Center for World University Rankings,84,Research,2
